"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"CO3.7",0.0965011302290422,0.12785547558358,0.115575113161219,0.12166821976677,0.0785187359765503,0.177093340076065,0.283463943364195,0.113416419457864,0.211611874863443,0.148870190325443,0.20302953433028,0.0896305944790136,0.0875691355857457,0.0789958450174736,0.143874792925085,0.126571358951786,0.188864303439578,0.0300277697258765,0.0629208030832969,0.201134978292391
"CO3.8",0.124873360951059,0.114971867826032,0.107260824510749,0.112645548022115,0.0829123009675651,0.184308205808998,0.230126883282809,0.103923723115593,0.159381594545694,0.0944698027569182,0.186099640847105,0.0804411819127732,0.0801368455692727,0.0823074646536781,0.137338991995906,0.116397427107202,0.151224439627901,0.0333712811071626,0.0778933186257157,0.155911920893832
"CO3.9",0.138904526301642,0.13457240335788,0.111105078181512,0.153403263851959,0.0770374493144429,0.186842399403945,0.315692999622625,0.126303896632422,0.216021450038081,0.126757532932518,0.230606747554771,0.0961966056356218,0.0904775069771111,0.0930651328533488,0.166195323932193,0.123569142815024,0.207668913725514,0.0373474071131052,0.093936212838139,0.22489575979193
"CO3.10",0.0999918905798688,0.118273687330117,0.105325084949495,0.112874209456382,0.0740763011538072,0.182349440714539,0.269098030879245,0.106712194523733,0.212371844453765,0.141679684009836,0.19792105354426,0.0943015203328315,0.0848835603138223,0.0792853890294385,0.143718726187111,0.115479827274104,0.188654682383312,0.0308945170869059,0.0652662548688665,0.195186290957179
"CO4.1",0.13409555682845,0.152333422912358,0.120821530001178,0.168091361851172,0.0773595115803778,0.239278238901691,0.29762870897845,0.151609322070025,0.270515029987393,0.153826770029078,0.287026734031779,0.0969157922438914,0.096472674702152,0.112010541868128,0.176605596286772,0.131342126885004,0.24871704715905,0.0358240616578884,0.082269360191236,0.242381069191567
"CO4.2",0.0968063187682772,0.139948229577974,0.108294177935324,0.126887209134136,0.057664327735974,0.215852521694579,0.250196938013509,0.131264372532675,0.244286365031883,0.13262820612949,0.226476452920357,0.0810297766640761,0.0837369420320822,0.0970096794385322,0.132887675470958,0.0970421094705596,0.219457295423899,0.0268176112133607,0.0709636207532125,0.215023871300353
"CO4.3",0.157523656143495,0.162776558426432,0.1117683487719,0.174879753026595,0.0676395325190164,0.248170006566631,0.329330217607756,0.152287693159744,0.284497946338701,0.128741389292016,0.294522398182531,0.086337590473758,0.0958788252101939,0.125977451126841,0.187815027050907,0.1264864358551,0.253164414551527,0.0399989125757162,0.106267940245235,0.272603258036457
"CO4.4",0.155160016735633,0.150856102158453,0.105683934510839,0.156428973470568,0.0694646433743323,0.237271865530512,0.315843735052061,0.141459632177769,0.261958250160994,0.120172253304401,0.298272307656957,0.0906881334071558,0.0956418127912438,0.122396902472644,0.199702494728695,0.117971758696288,0.231182760053333,0.0314174179128836,0.0995769246202972,0.253778243160904
"CO4.5",0.145028456180011,0.194431241975848,0.151151288508516,0.178298343040515,0.0888779393733747,0.225096227145445,0.312653124611292,0.159625646773764,0.260190553647814,0.156572641022657,0.2732444767871,0.120889315681534,0.11699442106408,0.10368658665081,0.210767001060119,0.159825042078202,0.255260198906176,0.0382058954752262,0.0891632531407877,0.262042249619878
"CO4.6",0.14759697021663,0.149755452054642,0.105752231771681,0.163878579718253,0.0655957391978398,0.246095148694403,0.305443702282658,0.142650418519159,0.265626834663387,0.118210161388567,0.281936368000127,0.0802616482349651,0.0902327298458096,0.120433655816284,0.173453291266246,0.113001513238358,0.231397631089113,0.0374743971959516,0.101905793517006,0.244734663601921
"CO4.7",0.148247263640791,0.153516454613074,0.104202050145251,0.164119018308102,0.0659685882608876,0.246967973266786,0.307281967255696,0.143951340578305,0.266578446792793,0.115677777898364,0.2868066254199,0.078941720852534,0.0878895847596564,0.118787231273326,0.182012821679108,0.111879996053669,0.235648091570491,0.0355145585889608,0.0986795988059692,0.247369528048448
"CO4.8",0.118517835755568,0.164006758934986,0.126314184343653,0.172913899354595,0.0779891713511707,0.243281727504054,0.280801547474621,0.160116658628829,0.260566712970312,0.158644898631861,0.278103319632976,0.0963751262461588,0.0943057377235835,0.114160883931515,0.159357256693879,0.123473036753738,0.24735465543936,0.0372652898362368,0.0780614529141676,0.245028222368651
"CO4.9",0.125437300027415,0.166531245243532,0.12357833082556,0.174470361203354,0.0810678179117732,0.236534474743461,0.280971342674836,0.150877849339304,0.251182830029012,0.157782357929654,0.267942141890012,0.095713463717337,0.0921721546322527,0.110046604661215,0.173327890124898,0.136182170681525,0.242422000037874,0.0355734012742949,0.0779174129704571,0.240648463872978
"CO4.10",0.169833387020691,0.155398719848214,0.122256510067708,0.188964092453972,0.0793968993141792,0.239946462927908,0.281644141806824,0.162388232535126,0.252978068111774,0.145328815659468,0.274790765185475,0.0858371747607271,0.0728520467407011,0.119045939583186,0.204920793789232,0.136366849554828,0.249744742972163,0.049580460933913,0.100240209560758,0.247793809189783
"CO5.1",0.11599580195992,0.177242150121366,0.117151710534938,0.163957347600128,0.0648560334352562,0.300363521156806,0.252194348814662,0.160801956161401,0.289797468106242,0.13421800349815,0.325875257540941,0.0818890024343166,0.094291290992572,0.129626577874249,0.156583496785549,0.118910091194029,0.258419999497423,0.0324242605569375,0.0880102203757469,0.267184921492186
"CO5.2",0.126000593007788,0.138375898985566,0.0897286354030489,0.152091320433966,0.0614306060185131,0.273980656791742,0.272007984749894,0.145654723538908,0.273980054588815,0.127149624329116,0.321731007550496,0.0737304179812322,0.0769610744936906,0.143215063621064,0.16782261551974,0.099158161047523,0.266323025894349,0.0314974192996371,0.0729901175582147,0.259192633839028
"CO5.3",0.136935506360275,0.150509521805311,0.101878371482191,0.169307154240799,0.0654852623596275,0.289125271377794,0.278884327875017,0.158363452809285,0.290729462128284,0.129444748247997,0.317367728120617,0.0752809600923189,0.0700893541387816,0.140464071505125,0.19936314676701,0.109003983652509,0.270996939740211,0.0390770135467245,0.0855893812656542,0.257206794970862
"CO5.4",0.16286446832231,0.152721762393162,0.116142903473999,0.179492804156808,0.0742179507190427,0.290955941623464,0.275950196578018,0.163138768326975,0.303190911470758,0.136577090042631,0.330452718196032,0.0858300689212759,0.0812688496527257,0.14159217702354,0.209895432128708,0.129070321817053,0.283129330145806,0.0490415457866354,0.0948042097934336,0.271826135652692
"CO5.5",0.146483407850876,0.178483678264834,0.117789907331502,0.167811898607953,0.0713639595681353,0.319209595702446,0.275776247986677,0.175747683378767,0.296201605351293,0.136694419184835,0.313610056016054,0.0918068124543362,0.103619555812103,0.130336000321496,0.207377060591516,0.124214520938397,0.264428816291574,0.0343633506932799,0.092175808814782,0.267461982989496
"CO5.6",0.112915532318455,0.160026073142407,0.10881629393847,0.165272079141585,0.0681052001864059,0.268978439260993,0.248364376457621,0.157016785516323,0.274750651898008,0.133136956221362,0.287096851395865,0.0835099808606426,0.0856704562934468,0.123034288547245,0.167073199822235,0.109313546307405,0.251455941092436,0.0344644186846029,0.0805629422188217,0.248386994979358
"CO5.7",0.172298134473757,0.167969603911044,0.127192870152605,0.199764467294192,0.0793133600461933,0.29204191018496,0.292285063138126,0.170961417772878,0.311806064626003,0.156577098602399,0.32886854249922,0.0964761328045012,0.0802357480919269,0.134938910346364,0.238749302128226,0.146505471969458,0.309781230051884,0.0496616076733657,0.0904543932659831,0.302402123213278
"CO5.8",0.129549335450942,0.16248412123815,0.13042710578094,0.193217806137046,0.0719568037251139,0.27321840152188,0.266209507088535,0.194014101703775,0.301310172395294,0.149048855185156,0.33339196278842,0.0945739990594036,0.085693190755561,0.152306423711065,0.176021241219944,0.113537571439772,0.29589279760172,0.0494921500113218,0.0880166924973058,0.291004528784449
"CO5.9",0.163692474954361,0.159166422717945,0.114938289386529,0.183964942919253,0.0719192641725843,0.290271831035944,0.289318717415031,0.165855647187066,0.308627275603045,0.132927166927551,0.327477101443063,0.0856295741166112,0.0789308690878596,0.139252250906133,0.223395969702143,0.126755224973578,0.292360080529425,0.0462204911661661,0.0982704254019623,0.278642406843122
"CO5.10",0.15127611976864,0.15880670101878,0.100727698294324,0.176919723208481,0.0610664745891708,0.254598785209805,0.28414641671256,0.146447178529061,0.276979107955161,0.111004957445048,0.274884646718244,0.0728387336715855,0.0823958630462776,0.121287429138641,0.173701883155613,0.106423307469093,0.26425642119371,0.0369233481073438,0.0902649966917059,0.269862524111407
"CO6.1",0.11865201228584,0.127625521462153,0.0914896720949665,0.147401122755027,0.0598603323679867,0.289745666498905,0.259968245486043,0.142172520936589,0.279678413743313,0.122972997251507,0.330253946776863,0.0726437978236102,0.0701182574010206,0.137742606810876,0.153966783168254,0.0979836592071318,0.274975216206395,0.0291223762360714,0.0710612361326109,0.24681705501483
"CO6.2",0.121239467923029,0.180472158970309,0.120497476929388,0.172827264379599,0.0696470187814605,0.357075207015364,0.286492807029729,0.16642570878653,0.327659050415693,0.142881608945491,0.348519558450652,0.0899660026830876,0.107751149770778,0.145370702463779,0.163855516961538,0.118080332769893,0.308647258480524,0.034079387756003,0.084117374511371,0.287629049838922
"CO6.3",0.159526579307488,0.160893631306556,0.0990878916917166,0.172460894580914,0.0582143443194342,0.309111856706248,0.283791282587677,0.148336378058831,0.301010148672509,0.0956377845340069,0.332263137197053,0.0816524170985553,0.0899632173529265,0.13123293397332,0.198919426278266,0.103413393062413,0.29165524652801,0.0313595534627035,0.0999150909275376,0.286308245250994
"CO6.4",0.155484739787341,0.203120404319877,0.137149917630577,0.175713258858084,0.085614045184062,0.347615836826308,0.352469389576319,0.18078065778877,0.34007527410672,0.151542815087536,0.359450018860103,0.108912660383233,0.113803204310212,0.146951435720597,0.212334662683803,0.133408103698494,0.311689369674896,0.0313558277962808,0.0835417875682291,0.305551621437846
"CO6.5",0.101969938014296,0.138827351498881,0.0898487913319822,0.145317914983531,0.0548782366163476,0.285342012656369,0.227504743512552,0.145184289753006,0.275447066413675,0.113492115353467,0.326358912298693,0.0708526558840648,0.0702870960705118,0.12375129780918,0.152971525779736,0.0865237108803657,0.264276222976547,0.0312739877267507,0.0733522595069551,0.237901904259088
