"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"CO3.7",0.0776542342522179,0.0999925742487916,0.0758693213276007,0.183229850708399,0.0661618100217906,0.266631495057864,0.0869958146926024,0.221637340159897,0.135798431470608,0.154462943371482,0.0622990325232065,0.102454595610769,0.063046561782477,0.0536896310937847,0.134694172175445,0.278883232623586,0.0943594851747223,0.19052686096914,0.0255653521486019,0.0348036864938275
"CO3.8",0.119544501342025,0.0952890353146277,0.0842930913671882,0.145053693344918,0.0787222236325541,0.251206846274492,0.0884189341365826,0.16025231148056,0.0647044445881757,0.155691155458547,0.070496935600324,0.109308925451089,0.0745421240036389,0.0615400448022207,0.121592003248951,0.192692564849053,0.101147658815997,0.138081206331402,0.0276353132293724,0.0659105538941429
"CO3.9",0.123170327249488,0.116093193434767,0.0871910277867038,0.180875164139642,0.0694632674947746,0.340419629380884,0.102456983386489,0.233096017582729,0.0971527126185478,0.160740730304819,0.0781461661425867,0.133243957055947,0.0754836137469258,0.0720249173467698,0.14313458140618,0.246451416179828,0.104287854494836,0.202996283975153,0.0339972728089645,0.0756218254334313
"CO3.10",0.0764055894896535,0.0907211659703658,0.0697359849507207,0.176353359310297,0.064595310157018,0.262697932429273,0.0852596014382958,0.224950687883959,0.127730653336089,0.15935399704152,0.0629888645924245,0.109277448342394,0.0652085377857188,0.0560508917741769,0.132971551616045,0.259711243417798,0.0872045988420921,0.184520762887297,0.0274173872079578,0.0356083026880133
"CO4.1",0.123340576598313,0.140717098589392,0.109892203922816,0.247860393365888,0.0801906080860605,0.279331495368602,0.132217230143229,0.293263218383852,0.151217004287157,0.216847021410113,0.102060010954511,0.150645027176087,0.0946039700945058,0.0859705368335921,0.164606459778574,0.330779365899759,0.132906536807636,0.251099745793261,0.0349545401514926,0.0739870389711783
"CO4.2",0.0776152285251775,0.121851456534565,0.0793459508782915,0.216341774111466,0.0505362221190478,0.243554449722555,0.10074676933878,0.255798114206839,0.124088593481668,0.204967020536634,0.0671735286498816,0.106829375470057,0.0719568220809946,0.0751628209230092,0.12074769409512,0.283543042120227,0.0816532686917973,0.217517382136872,0.031307612688008,0.0477433019589402
"CO4.3",0.148132495554739,0.139143468106622,0.101595189614414,0.235121357488695,0.0645653353469355,0.319112167779646,0.1326078884004,0.291891354356746,0.102216120648176,0.228224578503992,0.0869382094397252,0.167477028431909,0.094423702806188,0.0971627354043154,0.175221754817189,0.289594507992391,0.126683179173763,0.251722004341183,0.0515065194813103,0.097279244699314
"CO4.4",0.14215043938223,0.124190821219323,0.0965752193409785,0.214244300479125,0.0648205860790244,0.307563262597522,0.121267802726257,0.27028364349337,0.10326441098976,0.214670266181125,0.0921648835545683,0.152839376564603,0.0954789798491362,0.0935074585439512,0.189279918122821,0.300880349485143,0.120500744602602,0.224456268870769,0.0403205290681904,0.0909162762469153
"CO4.5",0.138758630596762,0.18438262842278,0.142945982158227,0.257660349107048,0.0900420228068075,0.298975352190392,0.146693152281898,0.281173014412589,0.15311195131708,0.208323632458269,0.129355690577047,0.194971350952012,0.120457887303619,0.0797183028084251,0.197546103716986,0.370141431269233,0.167353338015932,0.234983594627061,0.0415197932038878,0.081509830688052
"CO4.6",0.136631548318651,0.122394701070439,0.0936445402790189,0.217826446978374,0.0609579315103738,0.295544169716495,0.119553097554534,0.267901087726753,0.0960721873019017,0.225516215250553,0.0803882481390134,0.147796430950464,0.0897089539323523,0.0904040889337795,0.162428898071206,0.269976914121205,0.113610243804378,0.223667025539919,0.0472840877920959,0.0893194330875601
"CO4.7",0.139300567892819,0.125622106391296,0.0918028755046619,0.221982056199045,0.0625398261329215,0.300583852288934,0.121665855599929,0.273102531620505,0.0937208886064901,0.225167712532657,0.0780080957190114,0.146652815412742,0.0860092835125425,0.0880668209231112,0.163283780626677,0.271558773236655,0.109852726609745,0.230121389414355,0.0413880241921088,0.0869307928450656
