"","Abidji","Agarabi","Casiguran Agta","Aguacateco","Amarakaeri","Ampeeli","Amuzgo","Angaatiha","Apinaye","Arabela","Bahinemo","Bauzi","Berik","Bete","Bhili","Buglere","Cakchiquel","Ucayali Campa","Camsa","Candoshi","Cavine{–}a","Cayapa","Ch{‡}cobo","Chavacano","Chayahuita","Chinanteco","Chiquitano","Chumburu","Cof{‡}n","Colorado","Eastern Cree","Culina","Didinga","Djuka","Dyimini","Ejagam","Ese Ejja","Carib","Guahibo","Guambiano","Guarijio","Ng{Š}bere","Gunu","Halbi","Huasteco","Huave","Iduna","Ifugao","Sepik Iwam","Jicaque","Kalam","Kamano-Kafe","Karaja","Kemtuik","Kokoni","Konkomba","Kriol","Kuku-Yalanji","Long-haired Kuna","Kwerba","Lele","Mampruli","Maring","Martu Wangka","Mawchi","Mayoruna","Mazahua","Mazateco","Menye","Micmac","Mikasuki","Mixteco","Mundu","M{œ}ra Pirah{‹}","Murle","Murinbata","Nafaanra","N{‡}huatl","Ocaina","Papago","Patep","Paya","Podopa","Saramaccan","Seri","Shipibo","Sirion{—}","Slave","Sursurunga","Tabla","Tacana","Central Tarahumara","W. Tarahumara","Tboli","Teribe","Ticuna","Tifal","Tlapaneco","Tucano","Vagla","Vasavi","Waorani","Walpiri","Wobe","Yacouba","Yakan","Yaminahua","Yucuna","Yupik","Zapoteco"
"Tucano",NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,0.78125,0.759375,NA,NA,NA,NA,NA,NA,0.746875,NA,0.746875,NA,NA,NA,NA,NA,NA,NA,0.778125,NA,NA,NA,NA,NA,NA,0.775,NA,NA,NA,0.9,NA,0.628125,NA,NA,NA,0.721875,NA,0.8375,NA,NA,NA,NA,0.709375,NA,NA,NA,0.60625,NA,NA,NA,NA,0.59375,0.66875,NA,NA,NA,NA,0.8125,NA,NA,NA,0.53125,NA,NA,NA,NA,NA,NA,0.734375,NA,0.771875,0.684375,NA,0.8375,0.6875,0.771875,NA,0.7875,0.765625,0.74375,0.834375,NA,NA,NA,NA,0.546875,NA,1,0.678125,NA,NA,NA,NA,NA,NA,0.79375,NA,NA,NA
"Vagla",NA,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,0.615625,0.796875,NA,NA,NA,NA,NA,NA,0.709375,NA,0.60625,NA,NA,NA,NA,NA,NA,NA,0.615625,NA,NA,NA,NA,NA,NA,0.5875,NA,NA,NA,0.628125,NA,0.64375,NA,NA,NA,0.553125,NA,0.584375,NA,NA,NA,NA,0.696875,NA,NA,NA,0.696875,NA,NA,NA,NA,0.70625,0.840625,NA,NA,NA,NA,0.625,NA,NA,NA,0.634375,NA,NA,NA,NA,NA,NA,0.465625,NA,0.61875,0.684375,NA,0.653125,0.5375,0.625,NA,0.615625,0.609375,0.509375,0.6125,NA,NA,NA,NA,0.653125,NA,0.678125,1,NA,NA,NA,NA,NA,NA,0.63125,NA,NA,NA
"Vasavi",0.525,0.7375,NA,0.790625,NA,0.765625,0.5125,NA,NA,0.75,NA,NA,NA,NA,0.8,0.803125,NA,NA,NA,NA,NA,NA,NA,NA,0.640625,NA,NA,NA,0.80625,NA,0.62015503875969,NA,NA,0.753125,0.7125,NA,NA,0.465625,0.721875,0.678125,NA,0.66875,NA,0.7125,0.734375,NA,NA,0.55625,NA,NA,0.759375,0.790625,NA,NA,0.8375,NA,NA,NA,0.675,NA,NA,0.578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.715625,NA,NA,0.69375,0.640625,NA,NA,0.796875,NA,0.803125,NA,NA,NA,NA,NA,NA,0.575,NA,NA,NA,NA,0.74375,0.803125,0.625,0.759375,NA,0.7,NA,NA,1,NA,0.715625,NA,NA,NA,NA,0.80625,0.76875,0.771875
"Waorani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,0.675,NA,0.778125,NA,NA,NA,NA,NA,NA,NA,NA,0.68125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740625,NA,NA,0.628125,NA,NA,0.70625,NA,NA,NA,NA,0.590625,NA,NA,NA,NA,0.753125,NA,NA,NA,NA,0.5375,NA,NA,0.784375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Walpiri",0.515625,0.75,NA,0.68125,NA,0.721875,0.528125,NA,NA,0.665625,NA,NA,NA,NA,0.690625,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,0.54375,NA,NA,NA,0.61875,NA,0.542635658914729,NA,NA,0.734375,0.7,NA,NA,0.503125,0.653125,0.73125,NA,0.65625,NA,0.6375,0.621875,NA,NA,0.71875,NA,NA,0.759375,0.7625,NA,NA,0.7375,NA,NA,NA,0.575,NA,NA,0.634375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590625,NA,NA,0.553125,0.715625,NA,NA,0.640625,NA,0.7375,NA,NA,NA,NA,NA,NA,0.659375,NA,NA,NA,NA,0.69375,0.70625,0.69375,0.709375,NA,0.596875,NA,NA,0.715625,NA,1,NA,NA,NA,NA,0.6625,0.609375,0.646875
"Wobe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.859375,NA,NA,NA,NA,NA
"Yacouba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859375,1,NA,NA,NA,NA,NA
"Yakan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7125,NA,0.7875,NA,NA,NA,NA,0.8375,NA,NA,NA,0.621875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Yaminahua",NA,NA,NA,NA,NA,NA,NA,NA,0.721875,NA,NA,0.809375,0.828125,NA,NA,NA,NA,NA,NA,0.7125,NA,0.740625,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,0.7125,NA,NA,NA,0.828125,NA,0.690625,NA,NA,NA,0.7875,NA,0.853125,NA,NA,NA,NA,0.81875,NA,NA,NA,0.7,NA,NA,NA,NA,0.7,0.575,NA,NA,NA,NA,0.79375,NA,NA,NA,0.578125,NA,NA,NA,NA,NA,NA,0.5875,NA,0.778125,0.778125,NA,0.728125,0.6625,0.86875,NA,0.853125,0.8375,0.61875,0.73125,NA,NA,NA,NA,0.540625,NA,0.79375,0.63125,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Yucuna",0.49375,0.6625,NA,0.825,NA,0.715625,0.590625,NA,NA,0.746875,NA,NA,NA,NA,0.796875,0.753125,NA,NA,NA,NA,NA,NA,NA,NA,0.709375,NA,NA,NA,0.85625,NA,0.674418604651163,NA,NA,0.725,0.61875,NA,NA,0.540625,0.653125,0.68125,NA,0.6625,NA,0.653125,0.81875,NA,NA,0.56875,NA,NA,0.696875,0.753125,NA,NA,0.78125,NA,NA,NA,0.7125,NA,NA,0.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784375,NA,NA,0.6875,0.553125,NA,NA,0.878125,NA,0.8125,NA,NA,NA,NA,NA,NA,0.625,NA,NA,NA,NA,0.778125,0.759375,0.621875,0.825,NA,0.75,NA,NA,0.80625,NA,0.6625,NA,NA,NA,NA,1,0.8375,0.8125
"Yupik",0.4875,0.63125,NA,0.775,NA,0.63125,0.5375,NA,NA,0.71875,NA,NA,NA,NA,0.7875,0.746875,NA,NA,NA,NA,NA,NA,NA,NA,0.690625,NA,NA,NA,0.81875,NA,0.624031007751938,NA,NA,0.690625,0.609375,NA,NA,0.553125,0.625,0.6375,NA,0.646875,NA,0.621875,0.85625,NA,NA,0.553125,NA,NA,0.640625,0.675,NA,NA,0.721875,NA,NA,NA,0.68125,NA,NA,0.546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75625,NA,NA,0.74375,0.534375,NA,NA,0.834375,NA,0.753125,NA,NA,NA,NA,NA,NA,0.578125,NA,NA,NA,NA,0.78125,0.70625,0.60625,0.765625,NA,0.728125,NA,NA,0.76875,NA,0.609375,NA,NA,NA,NA,0.8375,1,0.775
"Zapoteco",0.446875,0.6125,NA,0.771875,NA,0.65625,0.6,NA,NA,0.684375,NA,NA,NA,NA,0.753125,0.775,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,0.8125,NA,0.643410852713178,NA,NA,0.734375,0.5875,NA,NA,0.540625,0.65625,0.6125,NA,0.59375,NA,0.63125,0.796875,NA,NA,0.45,NA,NA,0.675,0.690625,NA,NA,0.7375,NA,NA,NA,0.675,NA,NA,0.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828125,NA,NA,0.753125,0.528125,NA,NA,0.846875,NA,0.765625,NA,NA,NA,NA,NA,NA,0.584375,NA,NA,NA,NA,0.7,0.76875,0.64375,0.728125,NA,0.7875,NA,NA,0.771875,NA,0.646875,NA,NA,NA,NA,0.8125,0.775,1
