"L","a","b"
70.5,-80,20
70.5,-80,-20
70.5,80,-20
70.5,-80,40
70.5,80,-40
70.5,-80,60
70.5,-80,80
75.5,0,0
75.5,0,100
75.5,0,120
75.5,0,20
75.5,0,-20
75.5,0,40
75.5,0,-40
75.5,0,60
75.5,0,80
75.5,-100,0
75.5,-100,100
75.5,-100,20
75.5,-100,40
75.5,-100,60
75.5,-100,80
75.5,-120,20
75.5,-120,40
75.5,-120,60
75.5,-120,80
75.5,-140,40
75.5,-140,60
75.5,-20,0
75.5,20,0
75.5,-20,100
75.5,20,100
75.5,-20,120
75.5,20,120
75.5,-20,20
75.5,-20,-20
75.5,20,20
75.5,20,-20
75.5,-20,40
75.5,-20,-40
75.5,20,40
75.5,20,-40
75.5,-20,60
75.5,20,60
75.5,-20,80
75.5,20,80
75.5,-40,0
75.5,40,0
75.5,-40,100
75.5,40,100
75.5,-40,120
75.5,40,120
75.5,-40,20
75.5,-40,-20
75.5,40,20
75.5,40,-20
75.5,-40,40
75.5,-40,-40
75.5,40,40
75.5,40,-40
75.5,-40,60
75.5,40,60
75.5,-40,80
75.5,40,80
75.5,-60,0
75.5,60,0
75.5,-60,100
75.5,-60,120
75.5,-60,20
75.5,-60,-20
75.5,60,20
75.5,60,-20
75.5,-60,40
75.5,-60,-40
75.5,60,-40
75.5,-60,60
75.5,-60,80
75.5,-80,0
75.5,-80,100
75.5,-80,20
75.5,-80,-20
75.5,-80,40
75.5,-80,60
75.5,-80,80
80.5,0,0
80.5,0,100
80.5,0,120
80.5,0,20
80.5,0,-20
80.5,0,40
80.5,0,60
80.5,0,80
80.5,-100,0
80.5,-100,100
80.5,-100,20
80.5,-100,40
80.5,-100,60
80.5,-100,80
80.5,-120,40
80.5,-120,60
80.5,-120,80
80.5,-20,0
80.5,20,0
80.5,-20,100
80.5,20,100
80.5,-20,120
80.5,20,120
80.5,-20,20
80.5,-20,-20
80.5,20,20
80.5,20,-20
80.5,-20,40
80.5,20,40
80.5,-20,60
80.5,20,60
80.5,-20,80
80.5,20,80
80.5,-40,0
80.5,40,0
80.5,-40,100
80.5,-40,120
80.5,-40,20
80.5,-40,-20
80.5,40,20
80.5,40,-20
80.5,-40,40
80.5,40,40
80.5,-40,60
80.5,40,60
80.5,-40,80
80.5,40,80
80.5,-60,0
80.5,60,0
80.5,-60,100
80.5,-60,120
80.5,-60,20
80.5,-60,-20
80.5,60,-20
80.5,-60,40
80.5,-60,60
80.5,-60,80
80.5,-80,0
80.5,-80,100
80.5,-80,120
80.5,-80,20
80.5,-80,-20
80.5,-80,40
80.5,-80,60
80.5,-80,80
85.5,0,0
85.5,0,100
85.5,0,120
85.5,0,140
85.5,0,20
85.5,0,-20
85.5,0,40
85.5,0,60
85.5,0,80
85.5,-100,100
85.5,-100,20
85.5,-100,40
85.5,-100,60
85.5,-100,80
85.5,-20,0
85.5,20,0
85.5,-20,100
85.5,20,100
85.5,-20,120
85.5,20,120
85.5,20,140
85.5,-20,20
85.5,-20,-20
85.5,20,20
85.5,20,-20
85.5,-20,40
85.5,20,40
85.5,-20,60
85.5,20,60
85.5,-20,80
85.5,20,80
85.5,-40,0
85.5,40,0
85.5,-40,100
85.5,-40,120
85.5,-40,20
85.5,-40,-20
85.5,40,20
85.5,40,-20
85.5,-40,40
85.5,-40,60
85.5,-40,80
85.5,-60,0
85.5,-60,100
85.5,-60,120
85.5,-60,20
85.5,-60,-20
85.5,-60,40
85.5,-60,60
85.5,-60,80
85.5,-80,0
85.5,-80,100
85.5,-80,20
85.5,-80,40
85.5,-80,60
85.5,-80,80
90.5,0,0
90.5,0,100
90.5,0,120
90.5,0,140
90.5,0,20
90.5,0,40
90.5,0,60
90.5,0,80
90.5,-20,0
90.5,20,0
90.5,-20,100
90.5,-20,120
90.5,-20,20
90.5,20,20
90.5,-20,40
90.5,20,40
90.5,-20,60
90.5,-20,80
90.5,-40,0
90.5,-40,100
90.5,-40,120
90.5,-40,20
90.5,-40,40
90.5,-40,60
90.5,-40,80
90.5,-60,0
90.5,-60,100
90.5,-60,120
90.5,-60,20
90.5,-60,40
90.5,-60,60
90.5,-60,80
90.5,-80,100
