"L","a","b","prior.uniform","prior.distance.from.munsel.center"
65.5,0,-40,0.00353356890459364,0.00478849907490454
65.5,0,80,0.00353356890459364,0.00353028005240999
65.5,-120,0,0.00353356890459364,0.00199508912931129
65.5,-120,40,0.00353356890459364,0.00178834632393344
65.5,-120,80,0.00353356890459364,0.00116732917975572
65.5,-40,0,0.00353356890459364,0.00487490053136536
65.5,40,0,0.00353356890459364,0.00487206949521485
65.5,-40,40,0.00353356890459364,0.00434739689379589
65.5,-40,-40,0.00353356890459364,0.0042220816807174
65.5,40,40,0.00353356890459364,0.00434530552476102
65.5,40,-40,0.00353356890459364,0.00422011255771961
65.5,-40,80,0.00353356890459364,0.00318036241353184
65.5,40,80,0.00353356890459364,0.00317903728949356
65.5,-80,0,0.00353356890459364,0.00344121870613786
65.5,80,0,0.00353356890459364,0.00343833274335513
65.5,-80,40,0.00353356890459364,0.00314035478044433
65.5,80,-40,0.00353356890459364,0.00305796215007269
65.5,-80,80,0.00353356890459364,0.00230682113337597
70.5,0,0,0.00353356890459364,0.00585252686985398
70.5,0,40,0.00353356890459364,0.00491109407705121
70.5,0,-40,0.00353356890459364,0.00474163505401524
70.5,0,80,0.00353356890459364,0.00350395968269307
70.5,-120,0,0.00353356890459364,0.00197797187226143
70.5,-120,40,0.00353356890459364,0.00177199967411843
70.5,-120,80,0.00353356890459364,0.00115293026708954
70.5,-40,0,0.00353356890459364,0.00482540243654442
70.5,40,0,0.00353356890459364,0.00482266231710443
70.5,40,120,0.00353356890459364,0.00182723582951101
70.5,-40,40,0.00353356890459364,0.00431057566848283
70.5,-40,-40,0.00353356890459364,0.00418737941371095
70.5,40,40,0.00353356890459364,0.00430852176458992
70.5,40,-40,0.00353356890459364,0.00418544165770116
70.5,-40,80,0.00353356890459364,0.00315691257662806
70.5,40,80,0.00353356890459364,0.00315559713796875
70.5,-80,0,0.00353356890459364,0.00341569332467411
70.5,-80,40,0.00353356890459364,0.0031171938895493
70.5,80,-40,0.00353356890459364,0.00303537451800957
70.5,-80,80,0.00353356890459364,0.00228839439016996
75.5,0,0,0.00353356890459364,0.00567304524515265
75.5,0,120,0.00353356890459364,0.00204149864515951
75.5,0,40,0.00353356890459364,0.00483863649625552
75.5,0,-40,0.00353356890459364,0.00467643810093586
75.5,0,80,0.00353356890459364,0.00346647972494577
75.5,-120,40,0.00353356890459364,0.00174856306671945
75.5,-120,80,0.00353356890459364,0.00113226620979454
75.5,-40,0,0.00353356890459364,0.004756803652142
75.5,40,0,0.00353356890459364,0.0047541802976464
75.5,-40,120,0.00353356890459364,0.00180444068526607
75.5,40,120,0.00353356890459364,0.00180351534681092
75.5,-40,40,0.00353356890459364,0.00425868608002925
75.5,-40,-40,0.00353356890459364,0.0041383603218525
75.5,40,40,0.00353356890459364,0.0042566827516319
75.5,40,-40,0.00353356890459364,0.00413646520904698
75.5,-40,80,0.00353356890459364,0.00312344413912928
75.5,40,80,0.00353356890459364,0.00312214228113032
75.5,-80,0,0.00353356890459364,0.00337932158870215
75.5,-80,40,0.00353356890459364,0.00308413073333875
75.5,-80,80,0.00353356890459364,0.00226200626440212
80.5,0,0,0.00353356890459364,0.0054927010021823
80.5,0,120,0.00353356890459364,0.00200903272130621
80.5,0,40,0.00353356890459364,0.00474892596087303
80.5,0,80,0.00353356890459364,0.00341826612491592
80.5,-120,40,0.00353356890459364,0.0017181438007263
80.5,-120,80,0.00353356890459364,0.00110541086656897
80.5,-40,0,0.00353356890459364,0.004671425095906
80.5,40,0,0.00353356890459364,0.00466893387729743
80.5,-40,120,0.00353356890459364,0.00177365110939355
80.5,-40,40,0.00353356890459364,0.0041928082580162
80.5,40,40,0.00353356890459364,0.00419086566100875
80.5,-40,80,0.00353356890459364,0.00308026342768011
80.5,40,80,0.00353356890459364,0.00307897868258331
80.5,-80,0,0.00353356890459364,0.00333249388315736
80.5,-80,120,0.00353356890459364,0.00112984087817628
80.5,-80,40,0.00353356890459364,0.00304146092253179
80.5,-80,80,0.00353356890459364,0.00222780913234015
85.5,0,0,0.00353356890459364,0.00531193768738411
85.5,0,120,0.00353356890459364,0.00196929947292232
85.5,0,40,0.00353356890459364,0.0046446611067912
85.5,0,80,0.00353356890459364,0.00335983564079437
85.5,-40,0,0.00353356890459364,0.00457166319261137
85.5,40,0,0.00353356890459364,0.0045693104543089
85.5,-40,120,0.00353356890459364,0.00173593827084777
85.5,-40,40,0.00353356890459364,0.00411417068564959
85.5,-40,80,0.00353356890459364,0.00302774754351628
85.5,-80,0,0.00353356890459364,0.00327568581009073
85.5,-80,40,0.00353356890459364,0.00298954887266358
85.5,-80,80,0.00353356890459364,0.00218599474395136
90.5,0,0,0.00353356890459364,0.00513093960220189
90.5,0,120,0.00353356890459364,0.00192249393708199
90.5,0,40,0.00353356890459364,0.00452832037304163
90.5,0,80,0.00353356890459364,0.0032917711734359
90.5,-40,0,0.00353356890459364,0.00445977731120175
90.5,-40,120,0.00353356890459364,0.00169146980594734
90.5,-40,40,0.00353356890459364,0.00402405948687607
90.5,-40,80,0.00353356890459364,0.00296632933383894
90.5,-80,40,0.00353356890459364,0.00292881356923749
90.5,-80,80,0.00353356890459364,0.00213678914037964
95.5,0,0,0.00353356890459364,0.00494979689029259
95.5,0,40,0.00353356890459364,0.0044020509104392
95.5,-40,40,0.00353356890459364,0.0039237454272125
95.5,-40,80,0.00353356890459364,0.00289648182200566
